Comment,Author
힘내세요   강형욱님  그직원들 꼭 법적대응해 주세요  용서해주면  또 이런일 일어납니다    시시티비는 필수 입니다  내재산 재가 지키겠다는데 뭐가 문제인가요   전 레스토랑을 하고있지만 시시티비로  여러번의 형사사건을 해결한적도 있습니다   직원들이 훔쳐가는거부터  가게 손님이 옆테이블 핸드폰 훔쳐간거 찾어주고  외부카메라에서는 길거리에서 보험 사고 사기로 형사분들이 와서 보신후 검거했다고 고맙다는 말도 들었습니다  어쨌던  방송에서 다시 뵙길 기대합니다,@christianalexander0129
정신나간 여직원들 떄문에 이게 무슨 고생입니까강형욱님 항상 응원합니다 민희진도 말했었죠 여자들이랑 절대 같이 일 안한다고,@skyh6608
응원합니다,@user-dl4fu9pk2o
구두로 퇴직금은 없다 계약  사회생활 한 사람이면 이게 갑질인거 알텐데,@mylovenme
회사 운영 참으로 힘든겁니다이젠 서로가 배려하고 이해하고 좋은 마음으로 살아가는것이 답입니다화이팅하세요,@user-ed5eh1gj5u
욕한거 녹취파일 있다고 떴는데 무슨 ㅋㅋ 그리고 임금체불한것도 사실이더만,@user-ff7wu9xx3o
그냥 다 별로네전 직원 강 훈련사 그의 와이프깔 거 있으면 빨리 까고 진행시키세요질질 끌지 말고,@HH2336
언냐들 마라탕3인분 먹고 뚱카롱30개 쿰척거리면서 좌표찍고 댓글달러 왔노,@user-ey3yp3jp9x
진짜 인터넷은 무섭구나,@enjoy578
회사를 운영하는 사람으로서 저 얘기를 들으면 매우 이해가 된다 상황에 따라 직원들 입장에서 오해가 생길 수도 있을 것 같다그리고 한 때 직원이었던 시절이 있었기 때문에 직원들이 대표자에게 불만이 생기면 계속 부정적인 것만 잘 보이고 때로는 주변에 과장해서 얘기하게 된다직원이 가까운 사람들에게 그렇게 과장하고 왜곡되게 얘기할 수도 있겠지만 지금처럼 악의적으로 공론화해서 불만이 있었던 대표의 이미지를 망가뜨리려고 하는 것은 너무 무례하다고 생각된다한자리에 다 모아놓고 얘기를 나누게 하고 다른 사람들이 보고 있는 자리라면 과연 전직원들이 저렇게 말할 수 있을까 대표가 대중에게 많이 알려져서 대중 평가에 따라 사업에 큰 영향을 받는 사람되었을 때 이미지가 나빠진 것을 바로 잡기 힘드니 약자가 되는 것인데 그걸 이용해서 저런 식으로 공격하는 것은 정말 인성에 문제가 있는 사람이라 생각된다,@jhy8197
